filename,tag,output,loss,threshold,accuracy(%)
1111-867201051425649-20220408101523-13020100.wav,1,1,0.7387003,0.7804329507052898,82.57575757575758
1111-867201051425649-20220412101518-13020100.wav,1,3,0.78568953,0.7804329507052898,82.57575757575758
1111-867201051528855-20220328093625-11020150.wav,1,1,0.7284272,0.7804329507052898,82.57575757575758
1111-867201051528855-20220406093655-11020150.wav,1,1,0.74127877,0.7804329507052898,82.57575757575758
1111-867201051534721-20220404100025-12020150.wav,1,1,0.6978485,0.7804329507052898,82.57575757575758
1111-867201051534721-20220406100026-12020150.wav,1,1,0.7482568,0.7804329507052898,82.57575757575758
1111-867201051534762-20220326093318-14020100.wav,1,3,0.8079826,0.7804329507052898,82.57575757575758
1111-867201051534762-20220331093322-13020100.wav,1,1,0.7466583,0.7804329507052898,82.57575757575758
1111-867201051534762-20220403093324-13020100.wav,1,1,0.7190801,0.7804329507052898,82.57575757575758
1111-867201051534887-20220324092754-12020150.wav,1,1,0.765747,0.7804329507052898,82.57575757575758
1111-867201051534887-20220413092736-13020150.wav,1,1,0.77600133,0.7804329507052898,82.57575757575758
1111-867201051534929-20220401093021-13020100.wav,1,1,0.75452304,0.7804329507052898,82.57575757575758
1111-867201051534952-20220330102122-13020100.wav,1,1,0.7154095,0.7804329507052898,82.57575757575758
1111-867201051534952-20220401102122-13020100.wav,1,1,0.71225816,0.7804329507052898,82.57575757575758
1111-867201051534978-20220324094522-12020150.wav,1,1,0.7049049,0.7804329507052898,82.57575757575758
1111-867201051534994-20220330100241-12020150.wav,1,1,0.75341374,0.7804329507052898,82.57575757575758
1111-867201051534994-20220414094222-12020150.wav,1,3,0.7885896,0.7804329507052898,82.57575757575758
1111-867201051535157-20220325092459-13010600.wav,1,1,0.74640495,0.7804329507052898,82.57575757575758
1111-867201051535199-20220330100402-12020150.wav,1,1,0.7660561,0.7804329507052898,82.57575757575758
1111-867201051535199-20220409100322-12020150.wav,1,1,0.6981793,0.7804329507052898,82.57575757575758
1111-867201051535330-20220326095400-13020600.wav,1,1,0.7318342,0.7804329507052898,82.57575757575758
1111-867201051535330-20220412095159-12020600.wav,1,1,0.7582945,0.7804329507052898,82.57575757575758
1111-867201051535686-20220412101831-13020100.wav,1,1,0.7204969,0.7804329507052898,82.57575757575758
1111-867201051535926-20220324091858-13020150.wav,1,1,0.72534573,0.7804329507052898,82.57575757575758
1111-867201051535959-20220326103627-13020100.wav,1,1,0.67847073,0.7804329507052898,82.57575757575758
1111-867201051535959-20220328103628-13020100.wav,1,1,0.726956,0.7804329507052898,82.57575757575758
1111-867201051535959-20220406103619-13020100.wav,1,1,0.7078188,0.7804329507052898,82.57575757575758
1111-867201051535959-20220410103621-13020100.wav,1,1,0.67832464,0.7804329507052898,82.57575757575758
1111-867201051535959-20220412105749-13020100.wav,1,1,0.74827874,0.7804329507052898,82.57575757575758
1111-867201051535983-20220324092118-12010600.wav,1,1,0.7579031,0.7804329507052898,82.57575757575758
